Patient	Gene	-log10(p-value)
11	Rv0871	NA
11	Rv0872c	NA
11	Rv0873	0.25328819
11	Rv0874c	NA
11	Rv0875c	NA
11	Rv0876c	NA
11	Rv0877	NA
11	Rv0878c	NA
11	Rv0879c	NA
11	Rv0880	NA
11	Rv0881	NA
11	Rv0882	NA
11	Rv0883c	NA
11	Rv0884c	NA
11	Rv0885	0.66800914
11	Rv0886	NA
11	Rv0887c	NA
11	Rv0888	NA
11	Rv0889c	NA
11	Rv0890c	NA
11	Rv0891c	0.85033265
11	Rv0892	NA
11	Rv0893c	1.10028722
11	Rv0894	0
11	Rv0895	NA
11	Rv0896	23.6003929
11	Rv0897c	1.36711889
11	Rv0898c	NA
11	Rv0899	0.25408122
11	Rv0900	NA
11	Rv0901	NA
11	Rv0902c	NA
11	Rv0903c	NA
11	Rv0904c	NA
11	Rv0905	NA
11	Rv0906	NA
11	Rv0907	NA
11	Rv0908	NA
11	Rv0909	NA
11	Rv0910	0.25661877
11	Rv0911	0.55811424
11	Rv0912	NA
11	Rv0913c	0.66371754
11	Rv0914c	0.23385113
11	Rv0915c	NA
11	Rv0916c	NA
11	Rv0917	NA
11	Rv0918	0.66821868
11	Rv0919	NA
11	Rv0920c	0
11	Rv0921	NA
11	Rv0922	NA
11	Rv0923c	NA
11	Rv0924c	NA
11	Rv0925c	NA
11	Rv0926c	0.25060812
11	Rv0927c	NA
11	Rv0928	NA
11	Rv0929	NA
11	Rv0930	NA
11	Rv0931c	0.8939951
11	Rv0932c	0.25604783
11	Rv0933	0
11	Rv0934	NA
11	Rv0935	NA
11	Rv0936	NA
11	Rv0937c	0
11	Rv0938	NA
11	Rv0939	NA
11	Rv0940c	NA
11	Rv0941c	NA
11	Rv0942	NA
11	Rv0943c	NA
11	Rv0944	NA
11	Rv0945	0
11	Rv0946c	0
11	Rv0947c	0
11	Rv0948c	NA
11	Rv0949	0
11	Rv0950c	2.47472919
11	Rv0951	NA
11	Rv0952	NA
11	Rv0953c	NA
11	Rv0954	NA
11	Rv0955	0.1859243
11	Rv0956	0.53531355
11	Rv0957	NA
11	Rv0958	NA
11	Rv0959	12.31009178
11	Rv0960	NA
11	Rv0961	NA
11	Rv0962c	NA
11	Rv0963c	NA
11	Rv0964c	NA
11	Rv0965c	NA
11	Rv0966c	NA
11	Rv0967	0.543737
11	Rv0968	NA
11	Rv0969	NA
11	Rv0970	NA
11	Rv0971c	NA
11	Rv0972c	NA
11	Rv0973c	0.49026227
11	Rv0974c	0
11	Rv0975c	NA
11	Rv0976c	0.25352484
11	Rv0977	NA
11	Rv0978c	NA
11	Rv0979c	NA
11	Rv0979A	NA
11	Rv0980c	0.78714032
11	Rv0981	NA
11	Rv0982	0.57767511
11	Rv0983	1.12697573
11	Rv0984	NA
11	Rv0985c	NA
11	Rv0986	NA
11	Rv0987	2.41352665
11	Rv0988	0.5201216
11	Rv0989c	NA
11	Rv0990c	NA
11	Rv0991c	NA
11	Rv0992c	NA
11	Rv0993	NA
11	Rv0994	NA
11	Rv0995	0.25732631
11	Rv0996	NA
11	Rv0997	NA
11	Rv0998	0
11	Rv0999	0
11	Rv1000c	NA
11	Rv1001	NA
11	Rv1002c	NA
11	Rv1003	NA
11	Rv1004c	NA
11	Rv1005c	NA
11	Rv1006	NA
11	Rv1007c	NA
11	Rv1008	NA
11	Rv1009	NA
11	Rv1010	NA
11	Rv1011	NA
11	Rv1012	NA
11	Rv1013	0.24427256
11	Rv1014c	NA
11	Rv1015c	NA
11	Rv1016c	1.56771902
11	Rv1017c	0
11	Rv1018c	NA
11	Rv1019	NA
11	Rv1020	1.7441912
11	Rv1021	0
11	Rv1022	NA
11	Rv1023	NA
11	Rv1024	NA
11	Rv1025	NA
11	Rv1026	NA
11	Rv1027c	NA
11	Rv1028c	0.53457208
11	Rv1028A	NA
11	Rv1029	NA
11	Rv1030	0.51344582
11	Rv1031	NA
11	Rv1032c	NA
11	Rv1033c	NA
11	Rv1034c	NA
11	Rv1035c	NA
11	Rv1036c	NA
11	Rv1037c	0.25223244
11	Rv1038c	0.35144403
11	Rv1039c	NA
11	Rv1040c	NA
11	Rv1041c	NA
11	Rv1042c	0.26656103
11	Rv1043c	0
11	Rv1044	NA
11	Rv1045	NA
11	Rv1046c	NA
11	Rv1047	NA
11	Rv1048c	NA
11	Rv1049	NA
11	Rv1050	0.54141852
11	Rv1051c	NA
11	Rv1052	NA
11	Rv1053c	NA
11	Rv1054	2.46532939
11	Rv1055	NA
11	Rv1056	NA
11	Rv1057	NA
11	Rv1058	NA
11	Rv1059	NA
11	Rv1060	NA
11	Rv1061	0
11	Rv1062	NA
11	Rv1063c	NA
11	Rv1064c	NA
11	Rv1065	NA
11	Rv1066	NA
11	Rv1067c	NA
11	Rv1068c	NA
11	Rv1069c	NA
11	Rv1070c	NA
11	Rv1071c	NA
11	Rv1072	NA
11	Rv1073	NA
11	Rv1074c	0.25693365
11	Rv1075c	0
11	Rv1076	0.25360903
11	Rv1077	NA
11	Rv1078	NA
11	Rv1079	NA
11	Rv1080c	NA
11	Rv1081c	NA
11	Rv1082	NA
11	Rv1083	NA
11	Rv1084	NA
11	Rv1085c	NA
11	Rv1086	NA
11	Rv1087	NA
11	Rv1087A	NA
11	Rv1088	NA
11	Rv1089	0.25626945
11	Rv1089A	NA
11	Rv1090	NA
11	Rv1091	NA
11	Rv1092c	NA
11	Rv1093	0.25678757
11	Rv1094	NA
11	Rv1095	NA
11	Rv1096	NA
11	Rv1097c	0.8179252
11	Rv1098c	0
11	Rv1099c	NA
11	Rv1100	NA
11	Rv1101c	NA
11	Rv1102c	NA
11	Rv1103c	NA
11	Rv1104	NA
11	Rv1105	NA
11	Rv1106c	7.61960767
11	Rv1107c	NA
11	Rv1108c	0.25841157
11	Rv1109c	0.94772049
11	Rv1110	0.25650547
11	Rv1111c	NA
11	Rv1112	NA
11	Rv1113	NA
11	Rv1114	NA
11	Rv1115	NA
11	Rv1116	NA
11	Rv1116A	0
11	Rv1117	NA
11	Rv1118c	NA
11	Rv1119c	NA
11	Rv1120c	NA
11	Rv1121	0.59073791
11	Rv1122	NA
11	Rv1123c	NA
11	Rv1124	0
11	Rv1125	NA
11	Rv1126c	NA
11	Rv1127c	NA
11	Rv1128c	NA
11	Rv1129c	NA
11	Rv1130	0.94989505
11	Rv1131	NA
11	Rv1132	3.02595243
11	Rv1133c	NA
11	Rv1134	NA
11	Rv1135c	1.6737221
11	Rv1135A	NA
11	Rv1136	NA
11	Rv1137c	NA
11	Rv1138c	0
11	Rv1139c	NA
11	Rv1140	NA
11	Rv1141c	NA
11	Rv1142c	NA
11	Rv1143	0
11	Rv1144	0
11	Rv1145	NA
11	Rv1146	NA
11	Rv1147	NA
11	Rv1148c	0.51610527
11	Rv1150	NA
11	Rv1151c	1.03414208
11	Rv1152	NA
11	Rv1153c	NA
11	Rv1154c	NA
11	Rv1155	0.68329756
11	Rv1156	NA
11	Rv1157c	NA
11	Rv1158c	NA
11	Rv1159	NA
11	Rv1159A	NA
11	Rv1160	NA
11	Rv1161	0.25545545
11	Rv1162	1.28251542
11	Rv1163	NA
11	Rv1164	2.08061172
11	Rv1165	3.31022359
11	Rv1166	NA
11	Rv1167c	NA
11	Rv1168c	NA
11	Rv1169c	NA
11	Rv1170	NA
11	Rv1171	NA
11	Rv1172c	0.52823841
11	Rv1173	NA
11	Rv1174c	NA
11	Rv1175c	0
11	Rv1176c	0.48497906
11	Rv1177	10.03164336
11	Rv1178	NA
11	Rv1179c	0
11	Rv1180	0.57562615
11	Rv1181	NA
11	Rv1182	1.59962175
11	Rv1183	0.58710368
11	Rv1184c	NA
11	Rv1185c	1.25273519
11	Rv1186c	NA
11	Rv1187	0
11	Rv1188	NA
11	Rv1189	NA
11	Rv1190	NA
11	Rv1191	NA
11	Rv1192	NA
11	Rv1193	NA
11	Rv1194c	0.5479627
11	Rv1195	0.53665686
11	Rv1196	0.51239381
11	Rv1197	2.63206911
11	Rv1198	NA
11	Rv1199c	1.96363531
11	Rv1200	NA
11	Rv1201c	NA
11	Rv1202	NA
11	Rv1203c	NA
11	Rv1204c	NA
11	Rv1205	NA
11	Rv1206	NA
11	Rv1207	NA
11	Rv1208	NA
11	Rv1209	NA
11	Rv1210	NA
11	Rv1211	NA
11	Rv1212c	0.26628701
11	Rv1213	NA
11	Rv1214c	NA
11	Rv1215c	NA
11	Rv1216c	0.8311767
11	Rv1217c	NA
11	Rv1218c	1.54764674
11	Rv1219c	NA
11	Rv1220c	NA
11	Rv1221	NA
11	Rv1222	NA
11	Rv1223	NA
11	Rv1224	NA
11	Rv1225c	NA
11	Rv1226c	NA
11	Rv1227c	NA
11	Rv1228	0
11	Rv1229c	NA
11	Rv1230c	NA
11	Rv1231c	NA
11	Rv1232c	0.51464758
11	Rv1233c	0.25625128
11	Rv1234	NA
11	Rv1235	NA
11	Rv1236	0.66665475
11	Rv1237	NA
11	Rv1238	NA
11	Rv1239c	NA
11	Rv1240	NA
11	Rv1241	NA
11	Rv1242	0.2544654
11	Rv1243c	NA
11	Rv1244	NA
11	Rv1245c	0
11	Rv1246c	NA
11	Rv1247c	NA
11	Rv1248c	0.22987882
11	Rv1249c	NA
11	Rv1250	1.20276363
11	Rv1251c	0.25764428
11	Rv1252c	NA
11	Rv1253	1.48981217
11	Rv1254	NA
11	Rv1255c	0
11	Rv1256c	NA
11	Rv1257c	NA
11	Rv1258c	NA
11	Rv1259	NA
11	Rv1260	NA
11	Rv1261c	2.59153814
11	Rv1262c	NA
11	Rv1263	NA
11	Rv1264	NA
11	Rv1265	NA
11	Rv1266c	NA
11	Rv1267c	1.7429081
11	Rv1268c	NA
11	Rv1269c	0
11	Rv1270c	NA
11	Rv1271c	NA
11	Rv1272c	NA
11	Rv1273c	NA
11	Rv1274	NA
11	Rv1275	NA
11	Rv1276c	NA
11	Rv1277	NA
11	Rv1278	NA
11	Rv1279	NA
11	Rv1280c	0
11	Rv1281c	NA
11	Rv1282c	0.22410112
11	Rv1283c	NA
11	Rv1284	NA
11	Rv1285	0
11	Rv1286	0
11	Rv1287	NA
11	Rv1288	3.14693833
11	Rv1289	NA
11	Rv1290c	NA
11	Rv1290A	NA
11	Rv1291c	NA
11	Rv1292	0.61785137
11	Rv1293	NA
11	Rv1294	0.83767831
11	Rv1295	1.1457723
11	Rv1296	NA
11	Rv1297	NA
11	Rv1298	NA
11	Rv1299	NA
11	Rv1300	NA
11	Rv1301	NA
11	Rv1302	NA
11	Rv1303	NA
11	Rv1304	NA
11	Rv1305	NA
11	Rv1306	NA
11	Rv1307	0.24565997
11	Rv1308	21.44432876
11	Rv1309	NA
11	Rv1310	NA
11	Rv1311	NA
11	Rv1312	0.55758667
11	Rv1313c	NA
11	Rv1314c	NA
11	Rv1315	NA
11	Rv1316c	NA
11	Rv1317c	NA
11	Rv1318c	19.39236556
11	Rv1319c	1.65516342
11	Rv1320c	0.22954923
11	Rv1321	NA
11	Rv1322	0
11	Rv1322A	NA
11	Rv1323	NA
11	Rv1324	1.92898947
11	Rv1325c	NA
11	Rv1326c	1.57859295
11	Rv1327c	NA
11	Rv1328	0.2570004
11	Rv1329c	0
11	Rv1330c	NA
11	Rv1331	0.23680863
11	Rv1332	2.1327829
11	Rv1333	NA
11	Rv1334	0
11	Rv1335	1.37593419
11	Rv1336	NA
11	Rv1337	0.54675414
11	Rv1338	NA
11	Rv1339	NA
11	Rv1340	NA
11	Rv1341	NA
11	Rv1342c	0
11	Rv1343c	NA
11	Rv1344	NA
11	Rv1345	NA
11	Rv1346	NA
11	Rv1347c	NA
11	Rv1348	0
11	Rv1349	NA
11	Rv1350	NA
11	Rv1351	NA
11	Rv1352	NA
11	Rv1353c	0.65014906
11	Rv1354c	NA
11	Rv1355c	2.84992462
11	Rv1356c	NA
11	Rv1357c	NA
11	Rv1358	NA
11	Rv1359	0
11	Rv1360	NA
11	Rv1361c	1.84351226
11	Rv1362c	NA
11	Rv1363c	NA
11	Rv1364c	0
11	Rv1365c	NA
11	Rv1366	NA
11	Rv1367c	NA
11	Rv1368	NA
11	Rv1371	0.1602228
11	Rv1372	0.25828915
11	Rv1373	NA
11	Rv1374c	NA
11	Rv1375	NA
11	Rv1376	0.94101383
11	Rv1377c	NA
11	Rv1378c	0.24955648
11	Rv1379	NA
11	Rv1380	NA
11	Rv1381	NA
11	Rv1382	NA
11	Rv1383	NA
11	Rv1384	NA
11	Rv1385	NA
11	Rv1386	NA
11	Rv1387	NA
11	Rv1388	NA
11	Rv1389	NA
11	Rv1390	NA
11	Rv1391	0
11	Rv1392	NA
11	Rv1393c	NA
11	Rv1394c	NA
11	Rv1395	NA
11	Rv1396c	NA
11	Rv1397c	4.31942298
11	Rv1398c	NA
11	Rv1399c	NA
11	Rv1400c	NA
11	Rv1401	NA
11	Rv1402	NA
11	Rv1403c	NA
11	Rv1404	NA
11	Rv1405c	NA
11	Rv1406	NA
11	Rv1407	NA
11	Rv1408	NA
11	Rv1409	NA
11	Rv1410c	NA
11	Rv1411c	NA
11	Rv1412	NA
11	Rv1413	0.25871668
11	Rv1414	NA
11	Rv1415	0.63045309
11	Rv1416	NA
11	Rv1417	NA
11	Rv1418	NA
11	Rv1419	NA
11	Rv1420	NA
11	Rv1421	NA
11	Rv1422	NA
11	Rv1423	NA
11	Rv1424c	0.25656023
11	Rv1425	1.3140788
11	Rv1426c	NA
11	Rv1427c	0.52143902
11	Rv1428c	0
11	Rv1429	0.64172918
11	Rv1430	0
11	Rv1431	0.51872182
11	Rv1432	NA
11	Rv1433	NA
11	Rv1434	NA
11	Rv1435c	NA
11	Rv1436	10.15129379
11	Rv1437	NA
11	Rv1438	NA
11	Rv1439c	0.8273454
11	Rv1440	NA
11	Rv1441c	NA
11	Rv1442	NA
11	Rv1443c	NA
11	Rv1444c	0
11	Rv1445c	NA
11	Rv1446c	NA
11	Rv1447c	0
11	Rv1448c	0.25602712
11	Rv1449c	3.51169496
11	Rv1450c	NA
11	Rv1451	NA
11	Rv1452c	10.39435874
11	Rv1453	NA
11	Rv1454c	NA
11	Rv1455	NA
11	Rv1456c	NA
11	Rv1457c	NA
11	Rv1458c	NA
11	Rv1459c	NA
11	Rv1460	NA
11	Rv1461	0.48718607
11	Rv1462	NA
11	Rv1463	0
11	Rv1464	NA
11	Rv1465	NA
11	Rv1466	NA
11	Rv1467c	NA
11	Rv1468c	NA
11	Rv1469	NA
11	Rv1470	NA
11	Rv1471	NA
11	Rv1472	NA
11	Rv1473	NA
11	Rv1473A	NA
11	Rv1474c	0.24102349
11	Rv1475c	17.84611347
11	Rv1476	NA
11	Rv1477	NA
11	Rv1478	NA
11	Rv1479	0
11	Rv1480	NA
11	Rv1481	NA
11	Rv1482c	NA
11	Rv1483	NA
11	Rv1484	NA
11	Rv1485	NA
11	Rv1486c	2.8015064
11	Rv1487	NA
11	Rv1488	0.21425315
11	Rv1489	NA
11	Rv1489A	NA
11	Rv1490	0.6295409
11	Rv1491c	NA
11	Rv1492	0
11	Rv1493	0
11	Rv1494	NA
11	Rv1495	NA
11	Rv1496	NA
11	Rv1497	0.78402051
11	Rv1498c	NA
11	Rv1498A	NA
11	Rv1499	NA
11	Rv1500	0
11	Rv1501	0.45186455
11	Rv1502	NA
11	Rv1503c	NA
11	Rv1504c	1.8913526
11	Rv1505c	1.5238653
11	Rv1506c	NA
11	Rv1507c	NA
11	Rv1507A	NA
11	Rv1508c	3.02840684
11	Rv1508A	NA
11	Rv1509	NA
11	Rv1510	NA
11	Rv1511	0.47892582
11	Rv1512	NA
11	Rv1513	0.53773002
11	Rv1514c	0.25468775
11	Rv1515c	NA
11	Rv1516c	NA
11	Rv1517	0.54537607
11	Rv1518	NA
11	Rv1519	NA
11	Rv1520	NA
11	Rv1521	0.25247924
11	Rv1522c	0.71744345
11	Rv1523	NA
11	Rv1524	NA
11	Rv1525	1.10507706
11	Rv1526c	0.24497956
11	Rv1527c	1.30684607
11	Rv1528c	NA
11	Rv1529	NA
11	Rv1530	NA
11	Rv1531	NA
11	Rv1532c	1.41600034
11	Rv1533	NA
11	Rv1534	NA
11	Rv1535	NA
11	Rv1536	33.50526353
11	Rv1537	NA
11	Rv1538c	NA
11	Rv1539	NA
11	Rv1540	NA
11	Rv1541c	NA
11	Rv1542c	NA
11	Rv1543	NA
11	Rv1544	0
11	Rv1545	NA
11	Rv1546	NA
11	Rv1547	0.55595122
11	Rv1548c	0.97951766
11	Rv1549	NA
11	Rv1550	NA
11	Rv1551	NA
11	Rv1552	0
11	Rv1553	0.25595553
11	Rv1554	NA
11	Rv1555	NA
11	Rv1556	NA
11	Rv1557	NA
11	Rv1558	NA
11	Rv1559	NA
11	Rv1560	NA
11	Rv1561	NA
11	Rv1562c	NA
11	Rv1563c	NA
11	Rv1564c	0.48588099
11	Rv1565c	NA
11	Rv1566c	NA
11	Rv1567c	NA
11	Rv1568	NA
11	Rv1569	NA
11	Rv1570	NA
11	Rv1571	NA
11	Rv1572c	NA
11	Rv1575	NA
11	Rv1576c	NA
11	Rv1578c	NA
11	Rv1579c	NA
11	Rv1580c	NA
11	Rv1584c	NA
11	Rv1585c	NA
11	Rv1586c	NA
11	Rv1588c	0.87860767
11	Rv1589	NA
11	Rv1590	NA
11	Rv1591	NA
11	Rv1592c	0
11	Rv1593c	NA
11	Rv1594	NA
11	Rv1595	0.63203126
11	Rv1596	NA
11	Rv1597	0.19229327
11	Rv1598c	NA
11	Rv1599	0.74903156
11	Rv1600	NA
11	Rv1601	NA
11	Rv1602	NA
11	Rv1603	0.25326443
11	Rv1604	NA
11	Rv1605	NA
11	Rv1606	NA
11	Rv1607	NA
11	Rv1608c	NA
11	Rv1609	NA
11	Rv1610	NA
11	Rv1611	NA
11	Rv1612	0
11	Rv1613	0.76211054
11	Rv1614	NA
11	Rv1615	1.25108899
11	Rv1616	NA
11	Rv1617	0.2433728
11	Rv1618	0.63849721
11	Rv1619	NA
11	Rv1620c	0
11	Rv1621c	NA
11	Rv1622c	NA
11	Rv1623c	0.25455978
11	Rv1624c	NA
11	Rv1625c	NA
11	Rv1626	NA
11	Rv1627c	0.61242811
11	Rv1628c	NA
11	Rv1629	NA
11	Rv1630	89.4974777
11	Rv1631	NA
11	Rv1632c	NA
11	Rv1633	0.12398975
11	Rv1634	NA
11	Rv1635c	NA
11	Rv1636	NA
11	Rv1637c	0.25667203
11	Rv1638	1.34569789
11	Rv1638A	NA
11	Rv1639c	0.5303426
11	Rv1640c	1.15851869
11	Rv1641	1.99823925
11	Rv1642	NA
11	Rv1643	NA
11	Rv1644	NA
11	Rv1645c	NA
11	Rv1646	NA
11	Rv1647	NA
11	Rv1648	NA
11	Rv1649	0.46233125
11	Rv1650	0.25837237
11	Rv1651c	NA
11	Rv1652	NA
11	Rv1653	NA
11	Rv1654	NA
11	Rv1655	NA
11	Rv1656	NA
11	Rv1657	NA
11	Rv1658	NA
11	Rv1659	NA
11	Rv1660	NA
11	Rv1661	1.26180391
11	Rv1662	NA
11	Rv1663	NA
11	Rv1664	NA
11	Rv1665	0
11	Rv1666c	NA
11	Rv1667c	NA
11	Rv1668c	NA
11	Rv1669	NA
11	Rv1670	0
11	Rv1671	NA
11	Rv1672c	NA
11	Rv1673c	NA
11	Rv1674c	NA
11	Rv1675c	0.25350599
11	Rv1676	NA
11	Rv1677	NA
11	Rv1678	NA
11	Rv1679	NA
11	Rv1680	NA
11	Rv1681	NA
11	Rv1682	NA
11	Rv1683	0.24748198
11	Rv1684	NA
11	Rv1685c	NA
11	Rv1686c	NA
11	Rv1687c	NA
11	Rv1688	NA
11	Rv1689	NA
11	Rv1690	NA
11	Rv1691	NA
11	Rv1692	NA
11	Rv1693	NA
11	Rv1694	NA
11	Rv1695	0.7689789
11	Rv1696	NA
11	Rv1697	NA
11	Rv1698	NA
11	Rv1699	0.9923323
11	Rv1700	0.24936306
11	Rv1701	NA
11	Rv1702c	0.25667838
11	Rv1703c	NA
11	Rv1704c	0
11	Rv1705c	0.68885775
11	Rv1706c	NA
11	Rv1706A	NA
11	Rv1707	NA
11	Rv1708	NA
11	Rv1709	NA
11	Rv1710	NA
11	Rv1711	NA
11	Rv1712	NA
11	Rv1713	NA
11	Rv1714	NA
11	Rv1715	0
11	Rv1716	NA
11	Rv1717	NA
11	Rv1718	NA
11	Rv1719	NA
11	Rv1720c	NA
11	Rv1721c	NA
11	Rv1722	NA
11	Rv1723	NA
11	Rv1724c	NA
11	Rv1725c	0.83057089
11	Rv1726	NA
11	Rv1727	NA
11	Rv1728c	NA
11	Rv1729c	0.20710881
11	Rv1730c	1.43139103
11	Rv1731	NA
11	Rv1732c	NA
11	Rv1733c	NA
11	Rv1734c	NA
11	Rv1735c	NA
11	Rv1736c	NA
11	Rv1737c	NA
11	Rv1738	NA
11	Rv1739c	1.40801031
11	Rv1740	NA
11	Rv1741	NA
11	Rv1742	NA
11	Rv1743	0
11	Rv1744c	NA
11	Rv1745c	0.18952667
11	Rv1746	NA
11	Rv1747	0.72862499
11	Rv1748	NA
11	Rv1749c	0.25607949
11	Rv1750c	NA
11	Rv1751	NA
11	Rv1752	NA
11	Rv1753c	3.73714585
11	Rv1754c	2.0398452
11	Rv1755c	0.25606852
11	Rv1757c	NA
11	Rv1758	NA
11	Rv1759c	NA
11	Rv1760	NA
11	Rv1761c	NA
11	Rv1762c	NA
11	Rv1765c	NA
11	Rv1765A	NA
11	Rv1766	NA
11	Rv1767	NA
11	Rv1768	NA
11	Rv1769	0.18241826
11	Rv1770	NA
11	Rv1771	NA
11	Rv1772	NA
11	Rv1773c	NA
11	Rv1774	0.8274089
11	Rv1775	0.25582771
11	Rv1776c	0
11	Rv1777	NA
11	Rv1778c	NA
11	Rv1779c	0.84641762
11	Rv1780	NA
11	Rv1781c	NA
11	Rv1782	NA
11	Rv1783	0.24849305
11	Rv1784	NA
11	Rv1785c	1.31219519
11	Rv1786	NA
11	Rv1787	0
11	Rv1788	NA
11	Rv1789	NA
11	Rv1790	4.21085766
11	Rv1791	NA
11	Rv1792	NA
11	Rv1793	NA
11	Rv1794	0.6194036
11	Rv1795	1.75861297
11	Rv1796	NA
11	Rv1797	NA
11	Rv1798	0.69116538
11	Rv1799	NA
11	Rv1800	0.37322012
11	Rv1801	NA
11	Rv1802	NA
11	Rv1803c	NA
11	Rv1804c	0
11	Rv1805c	0.25465265
11	Rv1806	NA
11	Rv1807	NA
11	Rv1808	NA
11	Rv1809	0.25562034
11	Rv1810	NA
11	Rv1811	NA
11	Rv1812c	NA
11	Rv1813c	NA
11	Rv1814	NA
11	Rv1815	0.2527308
11	Rv1816	NA
11	Rv1817	0.39442231
11	Rv1818c	NA
11	Rv1819c	2.93613691
11	Rv1820	0
11	Rv1821	0.67488663
11	Rv1822	NA
11	Rv1823	NA
11	Rv1824	NA
11	Rv1825	0
11	Rv1826	0
11	Rv1827	NA
11	Rv1828	0
11	Rv1829	NA
11	Rv1830	NA
11	Rv1831	NA
11	Rv1832	NA
11	Rv1833c	NA
11	Rv1834	NA
11	Rv1835c	NA
11	Rv1836c	0.25733091
11	Rv1837c	NA
11	Rv1838c	0.23926486
11	Rv1839c	0.23926486
11	Rv1840c	NA
11	Rv1841c	NA
11	Rv1842c	NA
11	Rv1843c	NA
11	Rv1844c	NA
11	Rv1845c	NA
11	Rv1846c	NA
11	Rv1847	NA
11	Rv1848	NA
11	Rv1849	NA
11	Rv1850	NA
11	Rv1851	NA
11	Rv1852	NA
11	Rv1853	0
11	Rv1854c	NA
11	Rv1855c	NA
11	Rv1856c	NA
11	Rv1857	NA
11	Rv1858	NA
11	Rv1859	NA
11	Rv1860	NA
11	Rv1861	NA
11	Rv1862	NA
11	Rv1863c	NA
11	Rv1864c	NA
11	Rv1865c	2.14985268
11	Rv1866	NA
11	Rv1867	NA
11	Rv1868	0.24126256
11	Rv1869c	NA
11	Rv1870c	0
11	Rv1871c	NA
11	Rv1872c	0.48478063
11	Rv1873	0.3389373
11	Rv1874	NA
11	Rv1875	0.25602281
11	Rv1876	0.23111645
11	Rv1877	NA
11	Rv1878	1.48169855
11	Rv1879	NA
11	Rv1880c	NA
11	Rv1881c	0
11	Rv1882c	NA
11	Rv1883c	NA
11	Rv1884c	NA
11	Rv1885c	NA
11	Rv1886c	0
11	Rv1887	NA
11	Rv1888c	0.25698834
11	Rv1888A	0.65779361
11	Rv1889c	NA
11	Rv1890c	NA
11	Rv1891	NA
11	Rv1892	NA
11	Rv1893	NA
11	Rv1894c	NA
11	Rv1895	1.00739953
11	Rv1896c	0.25654051
11	Rv1897c	NA
11	Rv1898	NA
11	Rv1899c	NA
11	Rv1900c	NA
11	Rv1901	NA
11	Rv1902c	0.25559506
11	Rv1903	NA
11	Rv1904	NA
11	Rv1905c	NA
11	Rv1906c	NA
11	Rv1907c	NA
11	Rv1908c	0.77504716
11	Rv1909c	NA
11	Rv1910c	NA
11	Rv1911c	NA
11	Rv1912c	0.45515112
11	Rv1913	NA
11	Rv1914c	NA
11	Rv1915	NA
11	Rv1916	NA
11	Rv1917c	2.20889256
11	Rv1918c	NA
11	Rv1919c	NA
11	Rv1920	NA
11	Rv1921c	2.41726917
11	Rv1922	NA
11	Rv1923	0.22721592
11	Rv1924c	NA
11	Rv1925	NA
11	Rv1926c	1.10581751
11	Rv1927	0.63046762
11	Rv1928c	NA
11	Rv1929c	NA
11	Rv1930c	NA
11	Rv1931c	NA
11	Rv1932	NA
11	Rv1933c	NA
11	Rv1934c	NA
11	Rv1935c	0.81104246
11	Rv1936	0.20746025
11	Rv1937	0
11	Rv1938	NA
11	Rv1939	NA
11	Rv1940	NA
11	Rv1941	0.24323824
11	Rv1942c	NA
11	Rv1943c	NA
11	Rv1944c	NA
11	Rv1945	8.80281214
11	Rv1946c	NA
11	Rv1947	NA
11	Rv1948c	2.33664255
11	Rv1949c	0.25635607
11	Rv1950c	NA
11	Rv1951c	NA
11	Rv1952	NA
11	Rv1953	NA
11	Rv1954c	NA
11	Rv1955	NA
11	Rv1956	NA
11	Rv1957	NA
11	Rv1958c	NA
11	Rv1959c	NA
11	Rv1960c	NA
11	Rv1961	NA
11	Rv1962c	NA
11	Rv1963c	NA
11	Rv1964	NA
11	Rv1965	NA
11	Rv1966	0.58497212
11	Rv1967	NA
11	Rv1968	NA
11	Rv1969	NA
11	Rv1970	NA
11	Rv1971	1.61746957
11	Rv1972	NA
11	Rv1973	NA
11	Rv1974	0.57907391
11	Rv1975	NA
11	Rv1976c	NA
11	Rv1977	0
11	Rv1978	0
11	Rv1979c	NA
11	Rv1980c	NA
11	Rv1981c	NA
11	Rv1982c	NA
11	Rv1983	NA
11	Rv1984c	0
11	Rv1985c	0.41049695
11	Rv1986	0.92200461
11	Rv1987	NA
11	Rv1988	NA
11	Rv1989c	NA
11	Rv1990c	NA
11	Rv1990A	NA
11	Rv1991c	NA
11	Rv1992c	1.48084994
11	Rv1993c	1.44935354
11	Rv1994c	NA
11	Rv1995	NA
11	Rv1996	0.66368973
11	Rv1997	NA
11	Rv1998c	NA
11	Rv1999c	0.58330582
11	Rv2000	0
11	Rv2001	0.25404315
11	Rv2002	NA
11	Rv2003c	NA
11	Rv2004c	0.2563816
11	Rv2005c	1.29927941
11	Rv2006	NA
11	Rv2007c	NA
11	Rv2008c	1.35937877
11	Rv2009	NA
11	Rv2010	NA
11	Rv2011c	NA
11	Rv2012	NA
11	Rv2013	NA
11	Rv2014	NA
11	Rv2015c	0.25516782
11	Rv2016	NA
11	Rv2017	0
11	Rv2018	NA
11	Rv2019	NA
11	Rv2020c	1.27772666
11	Rv2021c	NA
11	Rv2022c	1.34756981
11	Rv2023c	NA
11	Rv2023A	0.37844942
11	Rv2024c	0.6340459
11	Rv2025c	NA
11	Rv2026c	NA
11	Rv2027c	NA
11	Rv2028c	NA
